County,  Cases
Fulton,198 
Dekalb,116 
Dougherty,109 
Cobb,101 
Bartow,78 
Gwinnett,48 
Cherokee,31 
Carroll,27 
Lee,25 
Clayton,22 
Clarke,19 
Hall,19 
Douglas,17 
Floyd,14 
Fayette,12 
Henry,12 
Lowndes,11 
Coweta,10 
Richmond,10 
Forsyth,9 
Rockdale,9 
Gordon,8 
Polk,8 
Chatham,7 
Newton,7 
Bibb,6 
Columbia,6 
Laurens,6 
Paulding,6 
Spalding,6 
Troup,6 
Early,5 
Glynn,5 
Houston,5 
Oconee,5 
Sumter,5 
Tift,5 
Mitchell,4 
Peach,4 
Pickens,4 
Whitfield,4 
Baker,3 
Crisp,3 
Effingham,3 
Lamar,3 
Lumpkin,3 
Monroe,3 
Muscogee,3 
Terrell,3 
Worth,3 
Baldwin,2 
Barrow,2 
Bryan,2 
Butts,2 
Coffee,2 
Greene,2 
Irwin,2 
Jasper,2 
Miller,2 
Seminole,2 
Twiggs,2 
Washington,2 
Appling,1 
Ben Hill,1 
Burke,1 
Camden,1 
Catoosa,1 
Charlton,1 
Chattooga,1 
Clinch,1 
Colquitt,1 
Dawson,1 
Decatur,1 
Dodge,1 
Fannin,1 
Harris,1 
Heard,1 
Jackson,1 
Jones,1 
Liberty,1 
Lincoln,1 
Macon,1 
Madison,1 
Meriwether,1 
Morgan,1 
Pierce,1 
Pulaski,1 
Randolph,1 
Stephens,1 
Tattnall,1 
Taylor,1 
Thomas,1 
Turner,1 
Walton,1 
White,1 
Wilkes,1 
Unknown,153 
