County,Cases
Fulton,211
Dougherty,156
Dekalb,129
Cobb,115
Bartow,86
Gwinnett,75
Carroll,50
Cherokee,38
Clayton,32
Lee,30
Henry,25
Clarke,24
Hall,21
Douglas,18
Floyd,16
Forsyth,15
Fayette,14
Coweta,12
Lowndes,12
Rockdale,12
Spalding,11
Columbia,10
Mitchell,10
Newton,10
Polk,10
Richmond,10
Troup,10
Chatham,9
Gordon,9
Houston,9
Bibb,8
Early,7
Laurens,7
Oconee,7
Paulding,7
Glynn,5
Muscogee,5
Peach,5
Sumter,5
Terrell,5
Tift,5
Whitfield,5
Worth,5
Barrow,4
Colquitt,4
Crisp,4
Lumpkin,4
Pickens,4
Bryan,3
Butts,3
Dawson,3
Effingham,3
Lamar,3
Monroe,3
Baldwin,2
Camden,2
Coffee,2
Decatur,2
Irwin,2
Jasper,2
Madison,2
Miller,2
Seminole,2
Tattnall,2
Turner,2
Twiggs,2
Washington,2
Baker,1
Ben Hill,1
Burke,1
Catoosa,1
Charlton,1
Chattooga,1
Clinch,1
Dodge,1
Fannin,1
Greene,1
Harris,1
Heard,1
Jackson,1
Jones,1
Liberty,1
Lincoln,1
Long,1
Macon,1
Meriwether,1
Morgan,1
Pierce,1
Pulaski,1
Randolph,1
Stephens,1
Taylor,1
Thomas,1
Toombs,1
Ware,1
White,1
Wilkes,1
Unknown,166
