date,county,state,fips,cases,deaths
2020-03-05,Clark,Nevada,32003,1,0
2020-03-05,Washoe,Nevada,32031,1,0
2020-03-06,Clark,Nevada,32003,1,0
2020-03-06,Washoe,Nevada,32031,1,0
2020-03-07,Clark,Nevada,32003,1,0
2020-03-07,Washoe,Nevada,32031,1,0
2020-03-08,Clark,Nevada,32003,2,0
2020-03-08,Washoe,Nevada,32031,2,0
2020-03-09,Clark,Nevada,32003,2,0
2020-03-09,Washoe,Nevada,32031,2,0
2020-03-10,Clark,Nevada,32003,2,0
2020-03-10,Washoe,Nevada,32031,2,0
2020-03-11,Clark,Nevada,32003,5,0
2020-03-11,Washoe,Nevada,32031,2,0
2020-03-12,Carson City,Nevada,32510,1,0
2020-03-12,Clark,Nevada,32003,8,0
2020-03-12,Washoe,Nevada,32031,2,0
2020-03-13,Carson City,Nevada,32510,1,0
2020-03-13,Clark,Nevada,32003,16,0
2020-03-13,Washoe,Nevada,32031,2,0
2020-03-14,Carson City,Nevada,32510,1,0
2020-03-14,Clark,Nevada,32003,16,0
2020-03-14,Washoe,Nevada,32031,4,0
2020-03-15,Carson City,Nevada,32510,1,0
2020-03-15,Clark,Nevada,32003,16,0
2020-03-15,Washoe,Nevada,32031,9,0
2020-03-16,Carson City,Nevada,32510,1,0
2020-03-16,Clark,Nevada,32003,35,1
2020-03-16,Washoe,Nevada,32031,9,0
2020-03-17,Carson City,Nevada,32510,1,0
2020-03-17,Clark,Nevada,32003,42,1
2020-03-17,Washoe,Nevada,32031,12,0
2020-03-18,Carson City,Nevada,32510,1,0
2020-03-18,Clark,Nevada,32003,69,1
2020-03-18,Washoe,Nevada,32031,12,0
2020-03-19,Carson City,Nevada,32510,2,0
2020-03-19,Clark,Nevada,32003,74,1
2020-03-19,Elko,Nevada,32007,1,0
2020-03-19,Washoe,Nevada,32031,18,0
2020-03-20,Carson City,Nevada,32510,3,0
2020-03-20,Clark,Nevada,32003,126,2
2020-03-20,Elko,Nevada,32007,2,0
2020-03-20,Nye,Nevada,32023,1,0
2020-03-20,Washoe,Nevada,32031,22,0
2020-03-21,Carson City,Nevada,32510,3,0
2020-03-21,Clark,Nevada,32003,126,2
2020-03-21,Elko,Nevada,32007,2,0
2020-03-21,Nye,Nevada,32023,1,0
2020-03-21,Washoe,Nevada,32031,22,0
2020-03-22,Carson City,Nevada,32510,3,0
2020-03-22,Clark,Nevada,32003,126,2
2020-03-22,Elko,Nevada,32007,2,0
2020-03-22,Nye,Nevada,32023,1,0
2020-03-22,Washoe,Nevada,32031,25,0
2020-03-23,Carson City,Nevada,32510,3,0
2020-03-23,Clark,Nevada,32003,151,4
2020-03-23,Douglas,Nevada,32005,1,0
2020-03-23,Elko,Nevada,32007,2,0
2020-03-23,Nye,Nevada,32023,1,0
2020-03-23,Washoe,Nevada,32031,25,0
2020-03-24,Carson City,Nevada,32510,3,0
2020-03-24,Clark,Nevada,32003,249,6
2020-03-24,Douglas,Nevada,32005,2,0
2020-03-24,Elko,Nevada,32007,2,0
2020-03-24,Nye,Nevada,32023,1,0
2020-03-24,Washoe,Nevada,32031,44,0
2020-03-25,Carson City,Nevada,32510,3,0
2020-03-25,Clark,Nevada,32003,249,6
2020-03-25,Douglas,Nevada,32005,3,0
2020-03-25,Elko,Nevada,32007,2,0
2020-03-25,Lyon,Nevada,32019,1,0
2020-03-25,Nye,Nevada,32023,1,0
2020-03-25,Washoe,Nevada,32031,57,0
2020-03-26,Carson City,Nevada,32510,4,0
2020-03-26,Clark,Nevada,32003,350,10
2020-03-26,Douglas,Nevada,32005,3,0
2020-03-26,Elko,Nevada,32007,2,0
2020-03-26,Lyon,Nevada,32019,1,0
2020-03-26,Nye,Nevada,32023,1,0
2020-03-26,Washoe,Nevada,32031,67,0
2020-03-27,Carson City,Nevada,32510,4,0
2020-03-27,Clark,Nevada,32003,443,10
2020-03-27,Douglas,Nevada,32005,4,0
2020-03-27,Elko,Nevada,32007,2,0
2020-03-27,Lyon,Nevada,32019,1,0
2020-03-27,Nye,Nevada,32023,1,0
2020-03-27,Washoe,Nevada,32031,75,0
2020-03-28,Carson City,Nevada,32510,5,0
2020-03-28,Clark,Nevada,32003,528,14
2020-03-28,Douglas,Nevada,32005,5,0
2020-03-28,Elko,Nevada,32007,3,0
2020-03-28,Humboldt,Nevada,32013,1,0
2020-03-28,Lyon,Nevada,32019,1,0
2020-03-28,Nye,Nevada,32023,1,0
2020-03-28,Washoe,Nevada,32031,93,0
2020-03-29,Carson City,Nevada,32510,5,0
2020-03-29,Clark,Nevada,32003,528,14
2020-03-29,Douglas,Nevada,32005,5,0
2020-03-29,Elko,Nevada,32007,3,0
2020-03-29,Humboldt,Nevada,32013,1,0
2020-03-29,Lyon,Nevada,32019,1,0
2020-03-29,Nye,Nevada,32023,1,0
2020-03-29,Washoe,Nevada,32031,107,1
2020-03-30,Carson City,Nevada,32510,5,0
2020-03-30,Clark,Nevada,32003,753,15
2020-03-30,Douglas,Nevada,32005,5,0
2020-03-30,Elko,Nevada,32007,5,0
2020-03-30,Humboldt,Nevada,32013,3,0
2020-03-30,Lyon,Nevada,32019,1,0
2020-03-30,Nye,Nevada,32023,1,0
2020-03-30,Washoe,Nevada,32031,121,3
2020-03-31,Carson City,Nevada,32510,5,0
2020-03-31,Clark,Nevada,32003,869,23
2020-03-31,Douglas,Nevada,32005,5,0
2020-03-31,Elko,Nevada,32007,5,0
2020-03-31,Humboldt,Nevada,32013,3,0
2020-03-31,Lyon,Nevada,32019,1,0
2020-03-31,Nye,Nevada,32023,1,0
2020-03-31,Washoe,Nevada,32031,121,3
2020-04-01,Carson City,Nevada,32510,5,0
2020-04-01,Clark,Nevada,32003,961,28
2020-04-01,Douglas,Nevada,32005,6,0
2020-04-01,Elko,Nevada,32007,5,0
2020-04-01,Humboldt,Nevada,32013,3,0
2020-04-01,Lyon,Nevada,32019,1,0
2020-04-01,Nye,Nevada,32023,4,0
2020-04-01,Washoe,Nevada,32031,163,4
2020-04-02,Carson City,Nevada,32510,8,0
2020-04-02,Clark,Nevada,32003,1125,34
2020-04-02,Douglas,Nevada,32005,6,0
2020-04-02,Elko,Nevada,32007,5,0
2020-04-02,Humboldt,Nevada,32013,3,0
2020-04-02,Lyon,Nevada,32019,2,0
2020-04-02,Nye,Nevada,32023,4,0
2020-04-02,Washoe,Nevada,32031,163,4
